Age.num,MDQ PRO (IROMS 17),MDQ PAIN NPRS (IROMS 18),NDI PRO (IROMS 15),NDI PAIN NPRS (IROMS16) ,KOS PRO (IROMS 11),KOS PAIN NPRS (IROMS 12),LEFS PRO (IROMS 13 ),LEFS PAIN NPRS (IROMS 14),DASH PRO (IROMS 19),DASH PAIN NPRS (IROMS 20)
85,0.63494069,1.68E-01,0.84112936,0.13145291,0.89577785,0.60228316,1.17146172,0.30629883,0.84699143,0.33806678
86,0.63661228,1.68E-01,0.84334378,0.13179899,0.89813614,0.60386877,1.17454579,0.30710522,0.84922128,0.33895679
87,0.63826454,1.69E-01,0.84553259,0.13214106,0.90046716,0.60543606,1.17759421,0.30790228,0.85142535,0.33983652
88,0.63989792,1.69E-01,0.84769639,0.13247922,0.90277154,0.60698543,1.18060779,0.30869023,0.85360423,0.3407062
89,0.64151285,1.70E-01,0.84983574,0.13281356,0.90504989,0.60851729,1.18358731,0.30946928,0.85575849,0.34156605
90,0.64310973,1.70E-01,0.85195119,0.13314417,0.90730278,0.61003203,1.18653355,0.31023962,0.85788868,0.34241629
91,0.64468896,1.70E-01,0.85404326,0.13347112,0.90953077,0.61153004,1.18944723,0.31100146,0.85999533,0.34325713
92,0.64625094,1.71E-01,0.85611247,0.1337945,0.91173441,0.61301168,1.19232906,0.31175496,0.86207896,0.34408879
93,0.64779603,1.71E-01,0.8581593,0.13411438,0.91391423,0.6144773,1.19517974,0.31250032,0.86414006,0.34491145
94,0.64932459,1.72E-01,0.86018425,0.13443084,0.91607074,0.61592724,1.19799993,0.31323771,0.86617912,0.34572532
95,0.65083698,1.72E-01,0.86218776,0.13474395,0.91820442,0.61736184,1.20079028,0.31396729,0.8681966,0.34653057
96,0.65233353,1.72E-01,0.8641703,0.13505379,0.92031577,0.61878142,1.20355141,0.31468924,0.87019295,0.34732739
97,0.65381457,1.73E-01,0.86613229,0.13536041,0.92240523,0.62018629,1.20628392,0.3154037,0.87216862,0.34811596
98,0.65528042,1.73E-01,0.86807416,0.13566389,0.92447326,0.62157674,1.20898841,0.31611083,0.87412402,0.34889643
99,0.65673139,1.74E-01,0.86999631,0.13596428,0.9265203,0.62295308,1.21166544,0.31681079,0.87605957,0.34966898
100,0.65816778,1.74E-01,0.87189915,0.13626166,0.92854676,0.62431559,1.21431556,0.31750371,0.87797566,0.35043377
