age,DASH.prob.mcd,DASH.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain
88,1.75049224,0.723265904,2.145909051,1.719072859,2.704080114,0.715856064,1.603214966,0.116340276,1.277593775,0.207579739
89,1.754909996,0.725091226,2.151324729,1.723411321,2.710904462,0.717662686,1.607261035,0.116633887,1.280818067,0.208103612
90,1.759278391,0.726896153,2.156679896,1.727701309,2.717652558,0.719449122,1.611261896,0.116924217,1.284006333,0.208621632
91,1.763598516,0.728681136,2.161975889,1.731943892,2.724326088,0.721215818,1.615218548,0.117211339,1.287159368,0.209133929
92,1.767871425,0.730446611,2.167214001,1.736140107,2.730926682,0.722963205,1.619131957,0.117495322,1.290277944,0.209640626
93,1.77209814,0.732192999,2.172395484,1.740290957,2.737455917,0.724691701,1.623003058,0.117776236,1.293362804,0.210141845
94,1.776279648,0.733920708,2.177521548,1.744397411,2.743915319,0.726401711,1.626832756,0.118054145,1.296414671,0.210637703
95,1.780416906,0.735630135,2.182593368,1.748460411,2.750306366,0.728093624,1.630621927,0.118329113,1.299434242,0.211128314
96,1.784510842,0.737321662,2.187612078,1.752480865,2.75663049,0.729767821,1.63437142,0.118601202,1.302422194,0.211613788
97,1.788562353,0.738995659,2.19257878,1.756459656,2.762889078,0.731424669,1.638082058,0.118870472,1.305379182,0.212094231
98,1.792572309,0.740652487,2.197494541,1.760397637,2.769083474,0.733064522,1.641754638,0.119136979,1.308305842,0.212569746
99,1.796541554,0.742292494,2.202360395,1.764295639,2.775214982,0.734687728,1.645389931,0.119400781,1.311202789,0.213040434
100,1.800470907,0.743916018,2.207177345,1.768154464,2.781284866,0.736294619,1.648988689,0.119661932,1.31407062,0.213506391
