functional_admit,DASH_functional,DASH_pain,KOS_functional,KOS_pain,LEFS_functional,LEFS_pain,MDQ_functional,MDQ_pain,NDI_functional,NDI_pain
10,-0.3569835931496518,0.1095322285939431,0.4607739310735602,-0.0757980775806389,0.3179898906161733,-0.1304444248016804,-0.2614098846068854,0.19242830037219,-0.2311686220855947,0.2629067323163566
11,-0.392681952464617,0.1204854514533374,0.5068513241809163,-0.0833778853387028,0.3497888796777906,-0.1434888672818485,-0.2875508730675739,0.211671130409409,-0.2542854842941542,0.2891974055479923
12,-0.4283803117795822,0.1314386743127317,0.5529287172882722,-0.0909576930967666,0.381587868739408,-0.1565333097620165,-0.3136918615282624,0.230913960446628,-0.2774023465027136,0.3154880787796279
13,-0.4640786710945474,0.142391897172126,0.5990061103956282,-0.0985375008548305,0.4133868578010253,-0.1695777522421846,-0.339832849988951,0.250156790483847,-0.3005192087112731,0.3417787520112636
14,-0.4997770304095126,0.1533451200315203,0.6450835035029843,-0.1061173086128944,0.4451858468626426,-0.1826221947223526,-0.3659738384496395,0.2693996205210661,-0.3236360709198326,0.3680694252428992
15,-0.5354753897244777,0.1642983428909146,0.6911608966103403,-0.1136971163709583,0.4769848359242599,-0.1956666372025207,-0.3921148269103281,0.2886424505582851,-0.3467529331283921,0.3943600984745349
16,-0.571173749039443,0.1752515657503089,0.7372382897176963,-0.1212769241290222,0.5087838249858773,-0.2087110796826887,-0.4182558153710166,0.3078852805955041,-0.3698697953369516,0.4206507717061706
17,-0.6068721083544082,0.1862047886097032,0.7833156828250524,-0.1288567318870861,0.5405828140474946,-0.2217555221628568,-0.4443968038317051,0.327128110632723,-0.392986657545511,0.4469414449378062
18,-0.6425704676693733,0.1971580114690975,0.8293930759324084,-0.13643653964515,0.5723818031091119,-0.2347999646430248,-0.4705377922923937,0.346370940669942,-0.4161035197540705,0.4732321181694419
19,-0.6782688269843385,0.2081112343284918,0.8754704690397644,-0.1440163474032139,0.6041807921707293,-0.2478444071231929,-0.4966787807530822,0.3656137707071611,-0.43922038196263,0.4995227914010776
20,-0.7139671862993037,0.2190644571878862,0.9215478621471204,-0.1515961551612778,0.6359797812323466,-0.2608888496033609,-0.5228197692137708,0.3848566007443801,-0.4623372441711895,0.5258134646327133
21,-0.7496655456142689,0.2300176800472805,0.9676252552544764,-0.1591759629193417,0.6677787702939639,-0.273933292083529,-0.5489607576744593,0.4040994307815991,-0.4854541063797489,0.5521041378643489
22,-0.785363904929234,0.2409709029066748,1.0137026483618323,-0.1667557706774056,0.6995777593555812,-0.286977734563697,-0.5751017461351479,0.4233422608188181,-0.5085709685883084,0.5783948110959846
23,-0.8210622642441993,0.2519241257660691,1.0597800414691885,-0.1743355784354694,0.7313767484171986,-0.3000221770438651,-0.6012427345958364,0.4425850908560371,-0.5316878307968679,0.6046854843276203
24,-0.8567606235591645,0.2628773486254634,1.1058574345765444,-0.1819153861935333,0.763175737478816,-0.3130666195240331,-0.6273837230565249,0.4618279208932561,-0.5548046930054273,0.6309761575592558
25,-0.8924589828741296,0.2738305714848577,1.1519348276839003,-0.1894951939515972,0.7949747265404332,-0.3261110620042012,-0.6535247115172135,0.4810707509304751,-0.5779215552139868,0.6572668307908915
26,-0.9281573421890948,0.284783794344252,1.1980122207912565,-0.1970750017096611,0.8267737156020506,-0.3391555044843692,-0.679665699977902,0.5003135809676941,-0.6010384174225463,0.6835575040225272
27,-0.96385570150406,0.2957370172036463,1.2440896138986126,-0.204654809467725,0.8585727046636679,-0.3521999469645372,-0.7058066884385906,0.5195564110049131,-0.6241552796311058,0.7098481772541629
28,-0.9995540608190252,0.3066902400630407,1.2901670070059683,-0.2122346172257889,0.8903716937252852,-0.3652443894447053,-0.7319476768992791,0.5387992410421322,-0.6472721418396653,0.7361388504857985
29,-1.0352524201339903,0.3176434629224349,1.336244400113325,-0.2198144249838528,0.9221706827869024,-0.3782888319248734,-0.7580886653599677,0.5580420710793511,-0.6703890040482248,0.7624295237174342
30,-1.0709507794489554,0.3285966857818292,1.3823217932206806,-0.2273942327419167,0.95396967184852,-0.3913332744050414,-0.7842296538206562,0.5772849011165702,-0.6935058662567842,0.7887201969490699
31,-1.1066491387639208,0.3395499086412236,1.4283991863280368,-0.2349740404999806,0.9857686609101372,-0.4043777168852094,-0.8103706422813447,0.5965277311537891,-0.7166227284653437,0.8150108701807055
32,-1.142347498078886,0.3505031315006179,1.474476579435393,-0.2425538482580445,1.0175676499717543,-0.4174221593653775,-0.8365116307420333,0.6157705611910081,-0.7397395906739032,0.8413015434123412
33,-1.178045857393851,0.3614563543600122,1.5205539725427486,-0.2501336560161084,1.0493666390333718,-0.4304666018455456,-0.8626526192027218,0.6350133912282272,-0.7628564528824626,0.8675922166439769
34,-1.2137442167088164,0.3724095772194065,1.5666313656501047,-0.2577134637741722,1.0811656280949893,-0.4435110443257136,-0.8887936076634103,0.6542562212654461,-0.7859733150910221,0.8938828898756125
35,-1.2494425760237815,0.3833628000788008,1.612708758757461,-0.2652932715322361,1.1129646171566066,-0.4565554868058816,-0.9149345961240988,0.6734990513026652,-0.8090901772995815,0.9201735631072482
36,-1.2851409353387466,0.3943160229381951,1.6587861518648168,-0.2728730792903,1.1447636062182238,-0.4695999292860497,-0.9410755845847876,0.6927418813398841,-0.832207039508141,0.946464236338884
37,-1.3208392946537115,0.4052692457975894,1.7048635449721727,-0.2804528870483639,1.176562595279841,-0.4826443717662178,-0.967216573045476,0.7119847113771032,-0.8553239017167005,0.9727549095705196
38,-1.356537653968677,0.4162224686569837,1.7509409380795289,-0.2880326948064278,1.2083615843414586,-0.4956888142463858,-0.9933575615061644,0.7312275414143222,-0.87844076392526,0.9990455828021552
39,-1.3922360132836422,0.4271756915163781,1.7970183311868848,-0.2956125025644917,1.2401605734030758,-0.5087332567265539,-1.019498549966853,0.7504703714515412,-0.9015576261338196,1.0253362560337909
40,-1.4279343725986071,0.4381289143757724,1.843095724294241,-0.3031923103225556,1.271959562464693,-0.5217776992067219,-1.0456395384275416,0.7697132014887602,-0.924674488342379,1.0516269292654266
41,-1.463632731913573,0.4490821372351667,1.8891731174015969,-0.3107721180806195,1.3037585515263106,-0.5348221416868899,-1.07178052688823,0.7889560315259792,-0.9477913505509384,1.0779176024970625
42,-1.4993310912285378,0.460035360094561,1.9352505105089528,-0.3183519258386834,1.335557540587928,-0.547866584167058,-1.0979215153489186,0.8081988615631982,-0.970908212759498,1.1042082757286975
